sundanese,indonesian
Sanggeus proklamasi kamerdikaan sistem nagari ieu dirobah ambéh leuwih luyu jeung kaayaan jaman.,"Setelah proklamasi kemerdekaan, sistem pemerintahan nagari ini diubah agar lebih sesuai dengan keadaan waktu itu."
Dina warsih 1946 diayakeun pemilihan langsung di sakumna Sumatra Kulon pikeun milih anggota Déwan Wawakil Nagari sarta Wali Nagari.,Pada tahun 1946 diadakan pemilihan langsung di seluruh Sumatera Barat untuk memilih anggota Dewan Perwakilan Nagari dan wali nagari.
Calon-calon anu dipilih teu kawates ti golongan penghulu waé.,Calon-calon yang dipilih tak terbatas pada penghulu saja.
Partéi pulitik ogé kaci ngusulkeun calon.,Partai politik pun boleh mengajukan calon.
Dina kanyataanana réa anggota Déwan Wawakil Nagari sarta Wali Nagari kapilih anu mangrupa anggota partéi.,Pada kenyataannya banyak anggota Dewan Perwakilan Nagari dan wali nagari terpilih yang merupakan anggota partai.
Masyumi jadi partéi anu ngadominasi.,Masyumi menjadi partai yang mendominasi.
"Dina mangsa perang kamerdikaan dijieun ogé organisasi pertahanan tingkat nagari, nyaéta ""Badan Pengawal Nagari dan Kota"" (BNPK).","Dalam masa perang kemerdekaan dibentuk juga organisasi pertahanan tingkat nagari, yaitu Badan Pengawal Negeri dan Kota (BNPK)."
Badan ieu diadegkeun ku alpukahna Chatib Sulaiman.,Badan ini didirikan atas inisiatif Chatib Sulaiman.
Ubuntu,Ubuntu
"Ubuntu mibanda palsapah: Ngeunaan hal kabébasan ieu pisan anu ngajadikeun Ubuntu béda tina akakas lemes nu dipiboga (proprietary); lain ngan saukur anu ku Anjeun dipikabutuh disadiakeun kalawan bébas, tapi Anjeun ogé boga hak pikeun ngaropéa pakkas lemes Anjeun nepika éta pakakas lemes téh bisa dipaké kalawan kumaha kahayang Anjeun.","Ubuntu mempunyai filosofi sebagai berikut : Perihal kebebasan inilah yang membuat Ubuntu berbeda dari perangkat lunak berpemilik (""proprietary""); bukan hanya peralatan yang Anda butuhkan tersedia secara bebas biaya, tetapi Anda juga mempunyai hak untuk memodifikasi perangkat lunak Anda sampai perangkat lunak tersebut bekerja sesuai dengan yang Anda inginkan."
Duduh Durahman,Duduh Durahman
"Duduh Durahman atawa Abah Duduh nya éta jurnalis, sastrawan Sunda, jeung aktor teater.",Duduh Durahman atau lebih dikenal dengan sebutan Abah Duduh adalah salah seorang sastrawan Sunda.
Bandéra Bangladés,Bendera Bangladesh
"Bandéra Kabangsaan Bangladés ( ""Bangladesher Jatiyo Potaka"") dipaké sacara resmi saprak 17 Januari 1972.",Bendera Bangladesh diperkenalkan pada 17 Januari 1972.
Al Kafirun,Surah Al-Kafirun
Surat Al Kafirun (basa Arab:الْكَافِرُونَ) nyaéta surat ka-109 dina Al Qur'an.,Surah Al-Kafirun (bahasa Arab:الكافرون) adalah surah ke-109 dalam al-Qur'an.
Surat ieu diwangun ku 6 ayat sarta kaasup kana surat Makkiyah.,Surat ini terdiri atas 6 ayat dan termasuk surat Makkiyah.
"Ngaran ""Al Kaafiruun"" (jalma-jalma kafir) dicokot tina kecap anu mecenghul dina ayat kahiji surat ieu.","Nama ""Al Kaafiruun"" (orang-orang kafir) diambil dari kata yang muncul pada ayat pertama surat ini."
Poko eusi surat ieu téh henteu dibeunangkeunana kompromi dina wangun nyampuradukkeun ajaran agama. Kasang Tukang.,Pokok isi surat ini adalah tidak diijinkannya kompromi dalam bentuk mencampuradukkan ajaran agama. Latar Belakang.
"Dina mangsa sumebarna Islam di Mekah, kaum Quraisy anu nangtang Rosulullah SAW teu eureun-eureun néangan cara pikeun ngeureunkeun ajaran Islam nu ngancam kapercayaan karuhun maranéhanana.","Pada masa penyebaran Islam di Mekkah, kaum Quraisy yang menentang Rasulullah SAW tak henti-hentinya mencari cara untuk menghentikan ancaman Islam terhadap kepercayaan nenek moyang mereka."
"Dina salah sahiji usaha kasebut maranéhanana upaya ngusulkeun kompromi ka Rosulullah SAW di mana maranéhanana nawarkeun: lamun Rosulullah daék muja pangéran maranéhanana, mangka maranéhanana baris muja Pangéran sakumaha konsép Islam.","Pada salah satu upaya tersebut mereka berusaha mengajukan proposal kompromi kepada Rasulullah SAW dimana mereka menawarkan: jika Rasulullah mau memuja Tuhan mereka, maka merekapun akan memuja Tuhan sebagaimana konsep Islam."
Saterusna surat ieu diturunkeun pikeun ngajawab hal éta.,Kemudian surat ini diturunkan untuk mejawab hal itu.
Kidul,Selatan
Christina Aguilera,Christina Aguilera
Keane,Keane
Kluster (linguistik),Kluster (linguistik)
"Dina linguistik, kluster nya éta dua konsonan nu diomongkeun sakaligus.","Dalam linguistik, kluster adalah dua konsonan yang diucapkan sekaligus."
"Conto kluster nya éta kecap ""opskrbljivanje"" () dina basa Kroasia, jeung ""sphinx"" () dina basa Inggris.","Contoh kluster adalah kata ""opskrbljivanje"" () dalam bahasa Kroasia, dan ""sphinx"" () dalam bahasa Inggris."
"Kluster sanés dua huruf (lambang) nu digabung, sabab kluster téh dua konsonan (bunyi) nu digabung, jeung teu sakabéh huruf nu digabung mangrupa konsonan nu digabung.","Kluster bukanlah dua huruf (lambang) yang digabung, karena kluster adalah dua konsonan (bunyi) yang digabung, sedangkan tidak semua huruf yang digabung merupakan konsonan yang digabung."
Cai raksa,Raksa
"Cai raksa atawa raksa atawa mérkuri (asal kecap basa Latén: Hydrargyrum, cai/cacai pérak) nyaéta unsur kimia dina tabel périodik kalayan simbol Hg sarta nomer atom 80.","Raksa (nama lama: air raksa) atau merkuri atau hydrargyrum () adalah unsur kimia pada tabel periodik dengan simbol Hg dan nomor atom 80. Unsur golongan logam transisi ini berwarna keperakan dan merupakan satu dari lima unsur (bersama cesium, fransium, galium, dan brom) yang berbentuk cair dalam suhu kamar, serta mudah menguap."
"Unsur golongan logam transisi ieu boga warna mérak sarta mangrupakeun hiji ti lima unsur (babarengan cesium, fransium, galium, sarta brom) anu wujudna éncér dina suhu kamar.","Raksa (nama lama: air raksa) atau merkuri atau hydrargyrum () adalah unsur kimia pada tabel periodik dengan simbol Hg dan nomor atom 80. Unsur golongan logam transisi ini berwarna keperakan dan merupakan satu dari lima unsur (bersama cesium, fransium, galium, dan brom) yang berbentuk cair dalam suhu kamar, serta mudah menguap."
Basa Pérsia,Bahasa Persia
"Basa Pérsia (ngaran lokal: Farsi , Tajiki, atawa Dari), mangrupakeun basa ti kumpulan Indo-Eropa ti kulawarga basana.","Bahasa Persia (nama lokal: Farsi , Tajiki atau Dari), adalah bahasa kelompok Indo-Eropa dari keluarga bahasanya."
"Dipaké di Iran, Tajikistan, Apganistan, jeung Uzbékistan.","Dituturkan di Iran, Tajikistan, Afganistan dan Uzbekistan."
Jumlah panyatur totalna kira-kira 75 yuta urang.,Jumlah penutur totalnya sekitar 75 juta orang.
"Upami di Iran, panyatur asli basa ieu kira-kira 60% ti jumlah padumuk.","Sedangkan di Iran, penutur asli bahasa ini sekitar 60% penduduk."
Selat Sunda,Selat Sunda
Selat Sunda nyaéta selat antara pulo Jawa jeung Sumatra di Indonésia.,"Pada awal 1942, di selat Sunda terjadi pertempuran antara pasukan Jepang yang dipimpin oleh Laksamana Muda Kenzaburo Hara yang menenggelamkan ""cruiser"" Sekutu USS ""Houston"" dan HMAS ""Perth"" saat kedua kapal tersebut mencoba menghadang pendaratan pasukan Jepang di Jawa."
Pérsija Jakarta,Persija Jakarta
Pérsija (singgetan ti Persatuan Sepak Bola Indonesia Jakarta) nya éta hiji klub maén bal Indonésia anu di daérah Jakarta.,Persija (singkatan dari Persatuan Sepak Bola Indonesia Jakarta) adalah sebuah klub sepak bola Indonesia yang berbasis di Jakarta.
Pérsija ayeuna maén di di Liga Super Indonésia.,"Persija saat ini berlaga di Liga Super Indonesia.<BR> Persija didirikan pada 28 November 1928, tepat sebulan setelah Sumpah Pemuda, dengan cikal bakal bernama ""Voetbalbond Indonesische Jacatra"" (VIJ)."
"Pérsija didirikeunn 28 Nopémber 1928, cikal bakal ngaranna ""Voetbalbond"" Indonesi Jakarta (VIJ).","Persija saat ini berlaga di Liga Super Indonesia.<BR> Persija didirikan pada 28 November 1928, tepat sebulan setelah Sumpah Pemuda, dengan cikal bakal bernama ""Voetbalbond Indonesische Jacatra"" (VIJ)."
"VIJ mangrupa salasahiji kalompok anu milu ngadegkeun Persatuan maén bal Sakumna Indonésia (PSSI) kalayan wawakil VIJ, Mr. Soekardi dina pembentukan PSSI di ""Societeit Hadiprojo Yogyakarta"", Saptu 19 April 1930.","VIJ merupakan salah satu klub yang ikut mendirikan Persatuan sepak bola Seluruh Indonesia (PSSI) dengan keikutsertaan wakil VIJ, Mr. Soekardi dalam pembentukan PSSI di Societeit Hadiprojo Yogyakarta, Sabtu-19 April 1930.<BR> Klub ini mendapatkan perhatian yang besar dari Mantan Gubernur Jakarta, Sutiyoso, yang merupakan Pembina Persija."
"Kalompok ieu meunangkeun perhatian anu gedé ti Gubernur Jakarta, Sutiyoso, anu mangrupa Pembina Persija.","Kelompok pendukungnya bernama ""The Jakmania""."
"Dina jaman Hindia Walanda, Pérsija ngaran mimitina nya éta VIJ (Voetbalbond Indonesische Jacatra).","Pada zaman Hindia Belanda, nama awal Persija adalah VIJ (Voetbalbond Indonesische Jacatra)."
"Pasca-republik Indonésia balik ka wangun nagara kasatuan, VIJ baganti ngaran jadi Pérsija (Persatuan maén bal Indonésia Jakarta).","Pasca-Republik Indonesia kembali ke bentuk negara kesatuan, VIJ berganti nama menjadi Persija (Persatuan sepak bola Indonesia Jakarta)."
"Dina waktu éta, NIVU (""Nederlandsch Indisch Voetbal Unie"") minangka organisasi tandingan PSSI masih aya.","Pada saat itu, NIVU (Nederlandsch Indisch Voetbal Unie) sebagai organisasi tandingan PSSI masih ada."
"Di sisi séjén, VBO (""Voetbalbond Batavia en Omstreken"") minangka ""bond"" (perserikatan) tandingan Pérsija ogé masih aya. sairing kalayan berdaulatna nagara Indonésia, NIVU daék henteu daék kudu bubar.","Di sisi lain, VBO (Voetbalbond Batavia en Omstreken) sebagai bond (perserikatan) tandingan Persija juga masih ada.<BR> Terlepas dari takdir atau bukan, seiring dengan berdaulatnya negara Indonesia, NIVU mau tidak mau harus bubar."
Meureun ieu ogé alatan sacara sosial pulitik geus henteu kondusif (ngarojong).,Mungkin juga karena secara sosial politik sudah tidak kondusif (mendukung).
"Kaayaan éta ahirna ngarémbét ka anggotana, diantarana nya éta VBO.","Suasana tersebut akhirnya merembet ke anggotanya, antara lain VBO."
"Dina pertengahan taun 1951, VBO ngayakeun pasamoan pikeun ngabubarkeun diri (likuidasi) sarta nganjurkeun manéhna pikeun ngagabung jeung Pérsija.","Pada pertengahan tahun 1951, VBO mengadakan pertemuan untuk membubarkan diri (likuidasi) dan menganjurkan dirinya untuk bergabung dengan Persija."
"Dina perkembanganna, VBO ngagabung ka Persija.","Dalam perkembangannya, VBO bergabung ke Persija."
"Dina turnamén ""segitiga Bersahabat"", gabungan pamaén bangsa Indonésia anu kagabung dina Persija ""anyar"" éta pahareup-hareup jeung Walanda sarta Tionghoa.","Dalam turnamen segitiga persahabatan, gabungan pemain bangsa Indonesia yang tergabung dalam Persija ""baru"" itu berhadapan dengan Belanda dan Tionghoa."
"Ieu pisan hasilna: Persija (Indonésia) vs Walanda 3-3 (29 Juni 1951), Walanda vs Tionghoa 4-3 (30 Juni 1951), sarta Persija (Indonésia) vs Tionghoa 3-2 (1 Juli 1951).","Inilah hasilnya: Persija (Indonesia) vs Belanda 3-3 (29 Juni 1951), Belanda vs Tionghoa 4-3 (30 Juni 1951), dan Persija (Indonesia) vs Tionghoa 3-2 (1 Juli 1951)."
"Kabéh pertandingan lumangsung di lapang BVC Merdika Kidul, Jakarta.","Semua pertandingan berlangsung di lapangan BVC Merdeka Selatan, Jakarta."
Kasenian Subang,<P>
Kasenian nya éta sagala rupa anu aya patalina jeung seni.,"Tiap tampilan batang Kata histogram berasal dari bahasa Yunani: ""histos"", dan ""gramma""."
"Unggal taun aya ""festival"" sisingaan anu diiluan ku sakabéh kecamatan anu aya di kabupatén Subang pikeun ngareuah-reuah acara HUT kabupaten Subang anu dipiéling unggal ping 5 April.",Setiap tahunnya diadakan Festival Sisingaan yang diikuti oleh semua Kecamatan yang ada di Subang untuk memeriahkan acara peringatan hari jadi Kabupaten Subang pada tanggal 5 April.
Seminar,Seminar
Histogram,Histogram
Dial-up connection atawa disingget dial-up nyaéta istilah basa Inggris pikeun téknologi informasi anu nujul kana aksés Internet kalayan ngagunakeun sambungan telepon tetep atawa telepon mobil.,"Akses Internet putar-nomor (bahasa Inggris: ""dial-up connection"") adalah istilah teknologi informasi dalam bahasa Inggris yang mengacu kepada akses Internet dengan menggunakan jalur telepon tetap atau telepon bergerak."
"Mimitina komputer, ngaliwatan modem nelepon (""dial-up"") ka nu ngayakeun Jasa Internet (nu disebut Internet Service Provider nu disingget ISP).","Pertama-tama, komputer melalui modem melakukan pemanggilan telepon (""dial-up"") ke Penyelenggara Jasa Internet."
Sanggeus komputer urang nyambung ka ISP mangka sagancangna ISP kasebut nyambungkeun komputer urang kana Internet sarta saterusna mungkas sambungan telepon jeung komuter urang.,Setelah terhubung maka komputer dapat segera mengakses Internet dan kemudian mengakhiri koneksi dengan memutuskan hubungan telepon.
"Kiwari réa kénéh jelema anu ngagunakeun layanan Dial-up ieu lantaran kateumampuh pikeun meunangkeun layanan sambungan Internet nu lajuna gancang (high-speed Internet connection), alatan kawates ku waragad jeung wewengkon geografis.","Masih banyak orang yang mempergunakan layanan Dial-up ini disebabkan ketidakmampuan mendapatkan layanan hubungan kecepatan tinggi (high-speed Internet connection), karena keterbatasan biaya dan area geografis."
"Pikeun narima layanan sambungan Internet Dial-up ieu, urang merlukeun: Anu perlu dipigawé ku urang nyaéta: Sanggeus komputer urang nyambung ka ISP mangka waktu éta ogé komputer urang geus nyambung ka Internet sarta urang bisa mitembeyan ngaprak di Internet.","Untuk melakukan Dial-up Connection, dibutuhkan perangkat-perangkat sebagai berikut: Yang perlu kita lakukan adalah: Setelah komputer terhubung ke ISP maka saat itu pula komputer sudah dapat terhubung ke Internet dan kita dapat memulai penjelajahan di Internet."
Hubungan urang ka Internet ngan lumangsung salila urang mertahankeun sambungan (konéksi) komputer urang ka ISP ngaliwatan modem.,Hubungan ke Internet hanya terjalin selama mempertahankan koneksi komputer kita ke ISP melalui modem.
Mangsa urang megatkeun sambungan modem ka ISP mangka saharita kénéh kompuer urang kapegatkeun tina Internet.,Begitu kita memutuskan hubungan modem ke ISP maka saat itu pula kompuer terputus dari Internet.
Sambungan anu dijeiun antara komputer urang jeung ISP nyaéta sambungan lokal (ngagunakeun pulsa telepon lokal) tapi urang geus bisa asup kana Internet sarta nyukcruk patempatan-patempatan sejen di sakuliah dunya.,Hubungan yang kita lakukan ke ISP adalah hubungan lokal (menggunakan pulsa telepon lokal) namun kita sudah bisa menjelajahi Internet dan mengunjungi tempat-tempat lain di seluruh dunia.
Tangtu wae ‘datangna’ urang ka patempatan séjén kasebut boga sipat maya (henteu nyata) alatan urang ngan bisa laha-loho kana informasi anu ngeusian komputer-komputer séjén di sakuliah dunya anu nyambung kana Internet.,Tentunya ‘kunjungan’ kita ke tempat-tempat lain tersebut bersifat maya (tidak nyata) karena kita hanya dapat melihat-lihat informasi yang terkandung di komputer-komputer lain di seluruh dunia yang terhubung ke Internet.
"Alatan sipatna anu maya ieu pisan mangka Internet dipikawanoh savagé ""cyberspace"" (dunya maya).","Karena sifatnya yang maya inilah maka Internet dikenal sebagai ""cyberspace"" (dunia maya)."
Sambungan Dial-up ieu umumna dipaké ku pribadi-pribadi anu hayang asup ka Internet ti imah.,Dial-up Connection ini pada umumnya digunakan oleh pribadi-pribadi yang menginginkan untuk mengakses Internet dari rumah.
