javanese,indonesian
"Kamampuan iki bisa sirna, nganti hepatosit ora bisa mlebu menyang njero siklus sel, senajan kelangan sebageyan massane, yen dumadi fibrosis ati.","Kemampuan ini dapat sirna, hingga hepatosit tidak dapat masuk ke dalam siklus sel, walaupun kehilangan sebagian massanya, apabila terjadi fibrosis hati."
"Lintasan fibrosis sing ora enggal entuk parawatan, saya suwe bakal ngrembaka dadi sirosis ati lan ngudokake panandhange kanggo nglakoni transplantasi ati utawa hepatektomi kanggo tetep urip.","Lintasan fibrosis yang tidak segera mendapat perawatan, lambat laun akan berkembang menjadi sirosis hati dan mengharuskan penderitanya untuk menjalani transplantasi hati atau hepatektomi demi kelangsungan hidupnya."
"Regenerasi ati sawise hepatektomi parsial arupa proses sing rumit banget ing sangisore pangaruh owah owahan hemodinamika, modulasi sitokina, hormon faktor patuwuhan lan aktivasi faktor transkripsi, sing ngarah ing proses mitosis.","Regenerasi hati setelah hepatektomi parsial merupakan proses yang sangat rumit di bawah pengaruh perubahan hemodinamika, modulasi sitokina, hormon faktor pertumbuhan dan aktivasi faktor transkripsi, yang mengarah pada proses mitosis."
Hormon PRL sing disekresi dening kelenjar hipofisis ngindhuksi respon hepatotrofik minangka mitogen sing duwe peran jroning proses proliferasi lan diferensiasi.,Hormon PRL yang disekresi oleh kelenjar hipofisis menginduksi respon hepatotrofik sebagai mitogen yang berperan dalam proses proliferasi dan diferensiasi.
"PRL menehi pangaruh marang paningkatan aktivitas faktor transkripsi sing duwe peran jroning proliferasi sel, kayata AP 1, c Jun lan STAT 3  lan diferensiasi lan kareksane metabolisme, kayata C EBP alfa, HNF 1, HNF 4 lan HNF 3. c Jun arupa salah siji protein panyusun AP 1.","PRL memberi pengaruh kepada peningkatan aktivitas faktor transkripsi yang berperan dalam proliferasi sel, seperti AP-1, c-Jun dan STAT-3; dan diferensiasi dan terpeliharanya metabolisme, seperti C/EBP-alfa, HNF-1, HNF-4 dan HNF-3. c-Jun merupakan salah satu protein penyusun AP-1."
Indhuksi NF κB ing fasa iki diperlokake kanggo nyegah apoptosis lan micu derap siklus sel sing wajar.,Induksi NF-κB pada fase ini diperlukan untuk mencegah apoptosis dan memicu derap siklus sel yang wajar.
"Ing wektu iki, peran retinil asetat dadi vital banget, amarga fungsine sing nambah massa DNA lan protein sing dikandhut.","Pada masa ini, peran retinil asetat menjadi sangat vital, karena fungsinya yang menambah massa DNA dan protein yang dikandungnya."
Panyakit ing ati.,Penyakit pada hati.
Ati arupa organ sing nopang kalangsungan urip meh kabeh organ liya ing njero awak.,Hati merupakan organ yang menopang kelangsungan hidup hampir seluruh organ lain di dalam tubuh.
"Amarga papan sing strategis banget lan fungsi multi dimensional, ati dadi rentan banget marang tekane maneka penyakit.","Oleh karena lokasi yang sangat strategis dan fungsi multi-dimensional, hati menjadi sangat rentan terhadap datangnya berbagai penyakit."
"Ati bakal ngrespon maneka panyakit mau kanthi ngradhang, sing diarani hepatitis Asring uga hepatitis diwiwiti karo reaksi radhang patobiokimiawi sing diarani fibrosis hati, kanthi simtoma paraklinis arupa paningkatan rasio plasma laminin, sawijining glikoprotein sing disekresi sel Ito, asam hialuronat lan sajenis aminopeptida yaiku prokolagen tipe III, dan CEA.","Hati akan merespon berbagai penyakit tersebut dengan meradang, yang disebut hepatitis Seringkali hepatitis dimulai dengan reaksi radang patobiokimiawi yang disebut fibrosis hati, dengan simtoma paraklinis berupa peningkatan rasio plasma laminin, sebuah glikoprotein yang disekresi sel Ito, asam hialuronat dan sejenis aminopeptida yaitu prokolagen tipe III, dan CEA."
"Fibrosis ati bisa disebabake dening asore rasio plasma HGF, utawa amarga infeksi viral, kayata hepatitis B, patogen sing disebabake dening infeksi akut sajenis virus DNA sing duwe fokus infeksi arupa cithakan transkripsi sing diarani cccDNA sing kametilasi, utawa hepatitis C, patogen sarupa hepatitis B sing disebabake dening infeksi virus RNA kanthi fokus infeksi arupa metilasi DNA, utamane liwat mekanisme ekspresi genetik berkas GADD45B, saengga ngakibatake siklus sel hepatosit dadi kacandhet candhet.","Fibrosis hati dapat disebabkan oleh rendahnya rasio plasma HGF, atau karena infeksi viral, seperti hepatitis B, patogen yang disebabkan oleh infeksi akut sejenis virus DNA yang memiliki fokus infeksi berupa templat transkripsi yang disebut cccDNA yang termetilasi, atau hepatitis C, patogen serupa hepatitis B yang disebabkan oleh infeksi virus RNA dengan fokus infeksi berupa metilasi DNA, terutama melalui mekanisme ekspresi genetik berkas GADD45B, sehingga mengakibatkan siklus sel hepatosit menjadi tersendat-sendat."
Sel hepatosit apoptotik bakal dicerna dening sel Ito dadi fibrinogen kanthi reaksi fibrogenesis sawise diaktivasi dening prodhuk saka peroksidasi lipid lan rasio leptin sing dhuwur.,Sel hepatosit apoptotik akan dicerna oleh sel Ito menjadi fibrinogen dengan reaksi fibrogenesis setelah diaktivasi oleh produk dari peroksidasi lipid dan rasio leptin yang tinggi.
"Apoptosis kronis banjur dikompensasi kanthi paningkatan laju proliferasi hepatosit, dikantheni DNA sing rusak dening disfungsi mitokondria, lan nyebabake mutasi genetik lan kanker.","Apoptosis kronis kemudian dikompensasi dengan peningkatan laju proliferasi hepatosit, disertai DNA yang rusak oleh disfungsi mitokondria, dan menyebabkan mutasi genetik dan kanker."
"Disfungsi mitokondria uga ditemokake ing kabeh patogenesis ati, saka kasus radhang nganti kanker lan transplantasi.","Disfungsi mitokondria juga ditemukan pada seluruh patogenesis hati, dari kasus radang hingga kanker dan transplantasi."
"Ing kolestasis kronik, asam ursodeoksikolat bebarengan karo GSH silih sinergis minangka antioksidan sing ngreksa sardiolipin lan fosfatidil serina nganti nyegah dumadine sirosis ati.","Pada kolestasis kronik, asam ursodeoksikolat bersama dengan GSH bersinergis sebagai antioksidan yang melindungi sardiolipin dan fosfatidil serina hingga mencegah terjadinya sirosis hati."
Pangaruh alkohol.,Pengaruh alkohol.
"Alkohol ditepungi duwe fungsi immunosupresif marang sistem kakebalan awak, kalebu ngredhem ekspresi kluster diferensiasi CD4+ lan CD8+ sing diperlokake jroning njaga tahaning ati marang infeksi viral, utamane HCV.","Alkohol dikenal memiliki fungsi immunosupresif terhadap sistem kekebalan tubuh, termasuk meredam ekspresi kluster diferensiasi CD4+ dan CD8+ yang diperlukan dalam pertahanan hati terhadap infeksi viral, terutama HCV."
"Alkohol uga ngredhem rasio kemokina IFN ing lintasan transduksi sinyal selular, saliyane ningkatake resiko dumadine fibrosis.","Alkohol juga meredam rasio kemokina IFN pada lintasan transduksi sinyal selular, selain meningkatkan resiko terjadinya fibrosis."
Akeh lintasan metabolisme menehi kontribusi marang alkohol kanggo ngindhuksi stres oksidatif.,Banyak lintasan metabolisme memberikan kontribusi terhadap alkohol untuk menginduksi stres oksidatif.
Salah siji lintasan metabolisme sing asring diaktivasi dening etanol yaiku indhuksi enzim sitokrom P450 2E1.,Salah satu lintasan metabolisme yang sering diaktivasi oleh etanol adalah induksi enzim sitokrom P450 2E1.
"Enzim iki nimbulake spesi oksigen reaktif kaya radikal anion superoksida lan hidrogen peroksida, sarta ngaktivasi subtrat toksik klebu etanol dadi prodhuk sing luwih reaktif lan toksik.","Enzim ini menimbulkan spesi oksigen reaktif seperti radikal anion superoksida dan hidrogen peroksida, serta mengaktivasi subtrat toksik termasuk etanol menjadi produk yang lebih reaktif dan toksik."
Sel dendritik katone arupa sel sing paling kapengaruh dening kandhutan etanol ing njero alkohol.,Sel dendritik tampaknya merupakan sel yang paling terpengaruh oleh kandungan etanol di dalam alkohol.
"Ing pacoben migunakake modhel tikus, etanol ningkatake rasio plasma IL 1β, IL 6, IL 8, TNF α, AST, ALT, ADH, γ GT, TG, MDA lan ngredham rasio IL 10, GSH, faktor transkripsi NF κB lan AP 1.","Pada percobaan menggunakan model tikus, etanol meningkatkan rasio plasma IL-1β, IL-6, IL-8, TNF-α, AST, ALT, ADH, γ-GT, TG, MDA dan meredam rasio IL-10, GSH, faktor transkripsi NF-κB dan AP-1."
Pangaruh alkaloid.,Pengaruh alkaloid.
"Kopi, salah siji kompleks senyawa alkaloid saka golongan purina xantina karo asam klorogenat lan lignan, ing studi epidemiologis, disimpulake minangka salah siji faktor pamudhun risiko dumadine diabetes mellitus tipe 2, penyakit Parkinson, sirosis ati lan karsinoma hepatoselular, lan saya apike toleransi glukosa.","Kopi, salah satu kompleks senyawa alkaloid dari golongan purina xantina dengan asam klorogenat dan lignan, pada studi epidemiologis, disimpulkan sebagai salah satu faktor penurun risiko terjadinya diabetes mellitus tipe 2, penyakit Parkinson, sirosis hati dan karsinoma hepatoselular, dan perbaikan toleransi glukosa."
"Konsumsi kopi sacara kronis kabukti ora nyebabake tekanan getih dhuwur nanging sacara akut ngakibatake paningkatan tekanan getih sauntara jroning selang wektu cendhak, lan plasma homosisteina saengga bisa dadi ancaman kanggo panandhang gangguan kardiovaskular.","Konsumsi kopi secara kronis terbukti tidak menyebabkan tekanan darah tinggi namun secara akut mengakibatkan peningkatan tekanan darah sementara dalam selang waktu singkat, dan plasma homosisteina sehingga dapat menjadi ancaman bagi penderita gangguan kardiovaskular."
"Konsumsi kopi sacara teratur bisa ngedhunake rasio enzim ALT sarta aktifitas enzimatik ing lintasan metabolisme ati, sing asring disebabake dening infeksi viral, indhuksi obat obatan, karacunan, kahanan iskemik, steatosis akibat alkohol, diabetes, obesitas, panyakit otoimun, lan resistansi insulin, sindrom metabolisme, lan kakehen dat wesi.","Konsumsi kopi secara teratur dapat menurunkan rasio enzim ALT serta aktifitas enzimatik pada lintasan metabolisme hati, yang sering disebabkan oleh infeksi viral, induksi obat-obatan, keracunan, kondisi iskemik, steatosis (akibat alkohol, diabetes, obesitas), penyakit otoimun, dan resistansi insulin, sindrom metabolisme, dan kelebihan zat besi."
"Saliyane ALT, kopi uga ngedhunake enzim ati liyane, yaiku gamma GT lan alkalina fosfatase. lan menehi efek antioksidan lan detoksifikasi fasa II amarga senyawa diterpena, kafestol lan kahweol, saengga nyegah dumadine proses karsinogenesis.","Selain ALT, kopi juga menurunkan enzim hati yang lain, yaitu gamma-GT dan alkalina fosfatase. dan memberikan efek antioksidan dan detoksifikasi fase II oleh karena senyawa diterpena, kafestol dan kahweol, sehingga mencegah terjadinya proses karsinogenesis."
Proses tersebut disertai dengan gamma GT sebagai indikator utama.,Proses tersebut disertai dengan gamma-GT sebagai indikator utama.
Transplantasi ati.,Transplantasi hati.
Teknologi transplantasi ati arupa asil sing dikembangake saka panliten ing saperangan bidhang studi kadhokteran.,Teknologi transplantasi hati merupakan hasil yang dikembangkan dari penelitian pada beberapa bidang studi kedokteran.
"Ing taun 1953, Billingham, Brent, lan Medawar nemokake yen toleransi kimerisme bisa diindhuksi dening infus sel hematolimfopoietik donor ing modhel tikus.","Pada tahun 1953, Billingham, Brent, dan Medawar menemukan bahwa toleransi kimerisme dapat diinduksi oleh infus sel hematolimfopoietik donor pada model tikus."
Nalika taun 1958 studi canine ngembangake sawijining teori ngenani molekul hepatotrofik ing portal pambuluh walik ing ati lan nemokake hormon insulin minangka faktor hepatotrofik utama saka saperangan faktor liya sing ana.,"Pada tahun 1958 studi ""canine"" mengembangkan suatu teori mengenai molekul hepatotrofik pada portal pembuluh balik pada hati dan menemukan hormon insulin sebagai faktor hepatotrofik utama dari beberapa faktor lain yang ada."
Ing wektu sing meh bebarengan teori ngenani transplantasi multiviseral lan ati uga ngrembaka saka studi imunosupresi sing nyinaoni algoritma empiris saka pangenalan pola lan respon terapis.,Pada saat yang hampir bersamaan teori mengenai transplantasi multiviseral dan hati juga berkembang dari studi imunosupresi yang mempelajari algoritma empiris dari pengenalan pola dan respon terapis.
"Nalika awal 1960, dibuktekake yen canine lan allograft manungsa nduwe toleransi kimersime sing bisa kaindhuksi otomatis kanthi bantuan imunosupresi, nganti akir 1962 disimpulake kanthi kleru, yen transplantasi nglibatake loro sistem kakebalan sing beda.","Pada awal 1960, dibuktikan bahwa ""canine"" dan ""allograft"" manusia memiliki toleransi kimersime yang dapat terinduksi otomatis dengan bantuan imunosupresi, hingga pada akhir 1962 disimpulkan dengan keliru, bahwa transplantasi melibatkan dua sistem kekebalan yang berbeda."
"Konsekwensi kasimpulan kasebut dadi dogma yen tolerogenisitas ati, dhasare beda, ora mung karo sumsum balung mburi, nanging karo kabeh organ awak liyane.","Konsekuensi kesimpulan tersebut menjadi dogma bahwa tolerogenisitas hati, pada dasarnya, berbeda, tidak hanya dengan sumsum tulang belakang, tetapi dengan seluruh organ tubuh yang lain."
Kekleron iki ora kakoreksi kanthi becik tekan taun 1990.,Kekeliruan ini tidak terkoreksi dengan baik hingga tahun 1990.
"Transplantasi ati sing pisanan dilakokake ing Denver nalika taun 1963, pisanan kasil kacathet nalika taun 1967 kanthi azatioprina, prednison lan globulin anti limfoid, dening Thomas E. Starzl saka Amerika Sarekat, disusul dening kasile transplantasi sumsum balung mburi manungsa nalika taun 1968.","Transplantasi hati yang pertama dilakukan di Denver pada tahun 1963, keberhasilan pertama tercatat pada tahun 1967 dengan azatioprina, prednison dan globulin anti-limfoid, oleh Thomas E. Starzl dari Amerika Serikat, disusul oleh keberhasilan transplantasi sumsum tulang belakang manusia pada tahun 1968."
Rentang wektu antara taun 1967 tekan 1979 nyathet kaping 84 transplantasi ati ing bocah kanthi 30% daya tahan urip tekan 2 taun.,Rentang waktu antara 1967 hingga 1979 mencatat 84 kali transplantasi hati pada anak dengan 30% daya tahan hidup hingga 2 tahun.
"Nrembakane studi imunosupresi banjur menehake kabecikan lan pangarep arep urip luwih dawa kanggo pasien, antarane kanthi panggantian azatioprina mawa siklosporina nalika taun 1979, banjur kagantekake mawa takrolimus nalika taun 1989.","Perkembangan studi imunosupresi kemudian memberikan perbaikan dan harapan hidup lebih panjang bagi pasien, antara lain dengan pergantian azatioprina dengan siklosporina pada tahun 1979, lalu tergantikan dengan takrolimus pada tahun 1989."
Respon kakebalan lan toleransi kakebalan antarane organ donor lan awak ditemokake arupa fungsi saka migrasi lan lokalisasi leukosit.,Respon kekebalan dan toleransi kekebalan antara organ donor dan tubuh ditemukan merupakan fungsi dari migrasi dan lokalisasi leukosit.
Salah siji temuane yaiku aktivasi sistem kakebalan turunan dening sel NK lan interferon γ langsung sawise transplantasi rampung dilakokake.,Salah satu temuan adalah aktivasi sistem kekebalan turunan oleh sel NK dan interferon-γ segera setelah transplantasi selesai dilakukan.
"Ing modhel tikus, sel hepatosit donor ditemokake asifat antigenik banget saengga njalari respon panulakan, sing bisa dilakokake sacara mandhiri utawa bebarengan antarane sel T CD4 lan sel T CD8.","Pada model tikus, sel hepatosit donor ditemukan bersifat sangat antigenik sehingga memicu respon penolakan, yang dapat dilakukan secara mandiri atau bersama-sama antara sel T CD4 dan sel T CD8."
"Kanggo iku diperlokake terapi imunosupresif sing intensif sadurunge transplantasi dilakokake, sing diarani preparative regimen utawa conditioning kanggo nyegah panulakan organ donor dening sistem kakebalan inang.","Untuk itu diperlukan terapi imunosupresif yang intensif sebelum transplantasi dilakukan, yang disebut ""preparative regimen"" atau ""conditioning"" untuk mencegah penolakan organ donor oleh sistem kekebalan inang."
"Terapi imunosupresif mau ditujokake kanggo nekan sel T lan sel NK inang guna menehake ruwang ing njero sumsum balung mburi kanggo transplantasi sel punca hematopoietik saka organ donor liwat terapi mielosupresif, kanggo kaseimbangan repopulasi sel donor karo sel asil diferensiasi saka sel punca inang.","Terapi imunosupresif tersebut ditujukan untuk menekan sel T dan sel NK inang guna memberikan ruang di dalam sumsum tulang belakang untuk transplantasi sel punca hematopoietik dari organ donor melalui terapi mielosupresif, untuk keseimbangan repopulasi sel donor dengan sel hasil diferensiasi dari sel punca inang."
